"lodID","title","pubYear","abst"
"7321108","사서의 문헌정보학분야 학술논문 출판 활동 현황 :『한국비블리아학회지』를 중심으로","2019","실용성을 강조하는 여타 학문 분야처럼 문헌정보학은 실무자인 사서의 연구 활동과 학술논문 출판에 관심이 많다. 그럼에도 불구하고 이를 직접 다룬 국내 연구는 매우 드물다. 이 연구는 사서의 국내 학술논문 출판 데이터를 수집하여 현황을 분석하고, 사서의 학술논문 출판 활성화 방안을 모색하는데 연구의 초점을 맞추었다. 2014년부터 2018년까지 한국비블리아학회지에 수록된 사서 저자의 논문을 다각적으로 분석하였고, 출판한 사서의 특성도 파악하였다. 분석결과 학술지 저자 전체에서 사서의 비중은 15.56%로 높지 않았다. 다만 사서 저자의 논문수 추이가 안정세였고, 공저 논문 가운데 사서가 주저자인 경우가 많다는 점은 고무적이었다. 활발한 출판을 보이는 사서는 공공 도서관과 학교 도서관 사서였고, 대학 도서관 사서는 다소 뒤져 있었으며, 지도교수와 공저하는 대학원 재학 사서도 있었다. 사서의 학술논문 출판을 활성화하는 데는 사서 개인의 노력뿐 아니라 소속 기관의 인식 개선과 적극적인 지원이 필요한 것으로 나타났다. 향후 사서와 도서관 모두 학술논문 출판의 중요성을 인지하고, 업무 시간의 탄력 적용, 보상, 지원 등 구체적인 방안을 마련해 실천함으로써, 사서의 귀중한 실무 경험이 학술논문으로 출판되고 이를 타 연구자 및 사서가 용이하게 공유할 수 있도록 해야 할 것이다."
"7795559","국가전거데이터 공동활용에 대한 사서들의 인식에 관한 질적 탐구","2021","이 연구는 국립중앙도서관의 국가전거공동활용시스템에 참여하여 로컬도서관의 전거데이터를 구축한 경험이 있는 사서들을 대상으로 면담을 진행하고, 국가전거데이터 공동활용에 대한 사서들의 인식과 지원 요구를 파악하는 것을 목적으로 하였다. 이를 위해 국가전거공동활용시스템 사업에 참여한 총 10명의 사서를 대상으로 반구조화된 질문지를 사용하여 전화 면담을 진행하였다. 이를 통해 국가전거데이터 공동활용의 이점, 어려움, 활용 계획, 전거형 수정 계획, 필요한 지원에 대한 의견을 조사할 수 있었다. 연구 결과 연구참여자들은 국가전거데이터 공동활용이 로컬도서관의 전거 업무에 기반을 제공하고, 업무 효율을 가져온다고 인식하고 있었지만, 전거데이터 수정, 선별, 신규작성, 지식 부족, 지원 체계 미비의 어려움을 인식하고 있었다. 국가전거데이터 공동활용을 위해 필요한 지원으로는 전거 관련 교육 및 매뉴얼 제공, 기관의 입장을 충분히 고려한 전거 관련 규칙 마련, 시스템 개발 및 유지를 위한 예산 및 인력 지원, 소통 채널 및 협의체 구축, 시스템과 데이터의 고도화, 참여도서관에 인센티브 부여가 도출되었다. 연구 결과를 토대로 향후 국가전거데이터 공동활용의 운영을 위한 방법과 방향을 제시하였다."
"7795558","청소년의 소셜 미디어 참여에 관한 연구 - 유튜브 메이크업 영상의 댓글 창을 중심으로 -","2021","본 연구는 청소년 메이크업에 관한 유튜브 동영상의 주요 시청자가 청소년이라는 가정하에 청소년 메이크업을 주제로 한 유튜브 동영상과 그에 딸린 댓글 창을 집중적으로 분석한 사례연구이다. 청소년 메이크업에 대한 정보를 제공하는 이와 그 정보를 수용하는 이 사이의 상호작용, 정보를 수용하는 이들 간의 소통, 그 안에서 제기되는 논의의 내용과 토론의 방식 등을 살펴봄으로써 청소년이 소셜 미디어를 이용하는 양상을 알아보고자 하였다. 청소년 메이크업 튜토리얼 영상을 시청하고 댓글 창에 참여한 청소년들 중 상당수는 뷰티 크리에이터의 미모를 찬양하고 부러워하며 그와 적극적으로 소통하고자 하는 모습을 보였다. 청소년이 작성한 댓글에 딸린 답글 타래에서는 답변과 공감 등의 소통 방식을 통해 또래와의 공감대를 형성하고 정보 요구를 해결하였으며, 각자의 경험과 생각을 주고받으며 시야와 사고를 확장하고 있었다. 그러나, 청소년 집단 내에서 상대적 약자인 초등학생에 심각한 언어폭력이 가해지는 등 나이에 따른 힘의 불균형 문제도 나타나고 있었다."
"7795557","정책연구정보 공유를 위한 표준 API 공유 데이터 요소 도출에 관한 연구","2021","국가 운영 정책을 기획하고, 실행하고, 평가하기 위한 모든 영역의 의사결정 단계에서 정책연구정보는 매우 중요한 정보원이라 할 수 있다. 국책연구기관의 정책연구 과제는 연구 설계부터 활용 효과에 대한 성과 평가까지 그 효율성과 효과성을 보장하기 위해 연구 전 과정에 있어서 꼼꼼한 단계를 거쳐 관리되고 있다. 그러나 실제 정책연구정보를 필요로 하는 수요자나 일반 국민에게 직접적으로 노출되는 정보는 연구과제의 최종 성과물인 정책연구보고서 형태로 발간된 자료이다. 국무총리산하 경제&#183;인문사회연구회에서 구축&#183;운영하고 있는 국가정책연구포털(NKIS)은 27개의 국책연구기관의 정책성과물과 함께 기관 간 협동 연구를 수행하여 산출된 연구보고서를 통합 관리하는 대국민 정보제공서비스이다. 본 연구는 국가정책연구포털(NKIS)의 운영 현황과 정보 관리 현황을 소개하면서 국책연구기관의 정책연구정보자료의 관리 특성을 파악하고, 외부 서비스와의 API(응용 프로그램 인터페이스)를 위해 고려해야 하는 특이사항을 도출하여, 표준화된 형태의 공유 데이터 요소를 도출하는 것을 목적으로 한다."
"7795556","다문화가족의 북스타트 선호프로그램 만족도와 재이용의도에 관한 연구","2021","이 연구의 목적은 전국의 다문화가족 북스타트 서비스와 프로그램 운영현황을 바탕으로 북스타트 선호프로그램 및 이용자만족도와 재이용의도를 조사 분석하여 공공도서관 및 관련 기관에 북스타트 프로그램의 기초자료를 제공하고 다문화가족 북스타트 프로그램 개선안을 제시하는 데 있다. 이를 위해 북스타트 프로그램 참여자를 대상으로 설문조사를 통해 이용자 만족도&#183;재이용의도 조사 및 가설검증을 하였다. 통계분석은 SPSS25를 사용하였다. 이 연구결과, 첫째, 다문화가족 북스타트 선호프로그램은 자녀의 나이와 월평균 교육비에 따라 유의한 차이를 보였다. 둘째, 다문화가족 북스타트 프로그램 만족도에서는 이용 및 서비스지원, 시설 및 환경 품질만 유의한 정(+)의 영향을 미치는 것으로 나타났다. 셋째, 다문화가족 북스타트 프로그램 재이용의도는 이용 및 서비스 지원품질만 유의한 정(+)의 영향을 미치는 것으로 나타났다. 넷째, 다문화가족 북 스타트 프로그램 만족도가 재이용의도에 유의한 정(+)의 영향을 미치는 것으로 검증되었다. 또한 다문화가족 북스타트 프로그램의 개선안을 제시하였다."
"7795555","공공도서관 사서의 공통역량 평가에 관한 연구","2021","본 연구는 공공도서관 사서의 공통역량 수준을 진단하는 자가진단 도구를 개발하여 실제 공공도서관 사서들을 대상으로 적용해보고 실증적 연구방법을 통해 역량가치 평가요인을 분석함으로써, 공공도서관 현장에서 사서의 역량강화 제고를 위한 개선방안을 모색하고자 하였다. 이를 위해 기존의 도서관 사서의 역량가치 평가 지표를 공공도서관 관점에서 수정, 보완하여 직급이나 직무에 관계없이 누구나 기본적으로 갖추어야 할 기본적 자질인 공통역량을 중심으로 한 자가진단 도구가 제시되었다. 공공도서관 사서 역량에 대한 자기 진단 분석 결과, 공공도서관 사서들은 전문직 사서가 갖추어야할 공통역량의 습득 정도를 보통보다는 다소 높은 수준으로 인식하고 있다고 스스로 평가하고 있는 것으로 나타났다. 사서의 전체 역량 중 '사서의 행동 및 태도' 영역의 평균이 가장 높았으며, '사서의 기량', '사서의 지식' 영역 순으로 나타났다. 다양한 직무 수행에 필요한 공공도서관 사서의 역량강화를 위해서 사서 재교육 체계 구축 및 강화가 필요하며 전문직으로서의 사서 직무에 대한 대외 홍보, 사서 전문역량 계발을 위한 체계적 제도와 전문성 계발을 위한 인사제도가 마련되어야 할 것을 제언하였다."
"7795554","용산구 공공도서관 운영 현황 및 활성화 방안 연구","2021","본 연구는 용산구 공공도서관의 발전계획 수립을 위한 기초연구로써, 용산구 도서관의 운영 효율화를 위한 활성화 방안을 제시하는 데 목적이 있다. 이를 위해 공공도서관 운영 현황 및 활성화 방안 관련 선행연구를 조사하여 현황 분석을 위해 고려되어야 할 지역 특성, 도서관 시설, 인력, 장서 및 예산, 프로그램 등의 기본 요인을 도출하였다. 이러한 요인을 기반으로 용산구 지역 여건 및 공공도서관 운영 현황을 분석하였으며, 사서 및 전문가 인터뷰를 통해 용산구 도서관의 문제점 및 운영 개선 방안을 모색하였다. 이를 바탕으로 대표도서관 건립 및 도서관 수 확충, 독서문화확산 및 지역특화프로그램 개발, 인력 및 장서 확충, 지역사회 유기적 협력체계 구축 등의 활성화 방안을 제시하였다."
"7795553","공무원사서의 집단자존감과 직무환경 지원 요인에 관한 연구","2021","이 연구는 한국의 관계 지향적 집단주의 문화에서 '공무원사서'의 집단자존감에 영향을 미치는 요인을 규명하고자 하였다. 모기관(상부기관) 인식, 직무환경에서의 상사-동료의 지원, 인구통계학적 요소 등을 요인으로 설정하고, 이를 토대로 각 요인들 간의 영향관계에 대한 가설을 설정하여 이를 연구모형으로 구성하였다. 자료 수집은 설문지 방법을 통해 전국 공공도서관에서 근무하는 공무원사서를 대상으로 이루어졌다. 2020년 4월 3일부터 2020년 5월 14일까지, 모기관을 지방자치단체나 교육청, 문화체육관광부로 두고 있는 전국의 공공도서관의 공무원 사서를 대상으로 진행되었으며, 559개 기관에서 301명의 공무원사서의 응답을 기초로 하였다. 분석 결과, 공무원사서의 모기관 인식은 집단자존감과 직무환경에서 상사와 동료의 지원을 인식하는데 영향을 주는 것으로 나타났다. 상사와 동료의 지원은 집단자존감의 하위요인 중 공적집단자존감과 관계성 집단자존감에 영향을 미치고 있는 것으로 나타났다. 본 연구는 관계 지향적 집단주의 문화를 가진 한국사회에서 여러 집단과 관계를 맺는 존재로서 '사서'를 다루었다는 점에서 의의가 있으며, 연구의 결과, 공무원사서가 거대한 공무원 조직의 하부조직으로 존재했을 때, 자신의 사회적 가치를 상대적으로 낮게 평가한다는 것은 개선되어야 직업문화라는 점과 더불어 공무원사서가 공무원으로서의 역할과 사서로서의 역할의 균형을 찾아야 한다는 점을 시사한다."
"7795552","범교과 학습주제를 적용한 진로독서 프로그램 개발에 관한 연구","2021","본 연구의 목적은 교과 교육과정과 연계할 수 있는 범교과 학습주제의 성취기준을 분석하고, 학교도서관에 활용할 수 있는 진로독서와 관련된 프로그램을 개발하고 적용하는 데 있다. 이러한 연구의 목적을 위해 첫째, 2015 개정 교육과정의 범교과 학습주제를 10개 주제로 범주화하고, 진로교육의 세부 내용요소를 통합적으로 다룰 수 있는 범교과 학습 활동을 통해 독서교육 프로그램과 연계하여 수업모형을 설계하였다. 둘째, 중학생 5개 반 137명을 대상으로 한 학기 동안 범교과 기반의 진로독서 수업모형을 통해 자기이해, 진로탐색, 진로설계 영역의 진로독서 수업을 실행하였다. 셋째, 연구의 분석을 위해 진로독서 평가 자료를 구축하여 분석하였으며 일화기록과 체크리스트의 다각적인 관찰과 실행연구를 수행하였다. 마지막으로 진로독서 스토리텔링과 흥미유형의 진로 멘토 중심 도서목록 자료를 제시하고, 학교 현장에서의 진로독서 교육 활동을 제안하였다."
"7795551","공공도서관 지식교류의도 영향 요인에 관한 연구 - 자기결정성 이론을 기반으로 -","2021","2012년 작은도서관진흥법이 제정된 이래 최근 3년 동안 공공도서관은 양적으로 꾸준히 증가하였다. 하지만 농산어촌 지역의 공공도서관 운영과 관련하여 사서 인력 부족, 부실 운영 등 여러 문제가 발생하였다. 2018년 서울시 도서관 이용 실태 조사 결과에 의하면 20대와 30대의 공공도서관 이용률 또한 양적 증가에 비해 현저히 낮은 수치를 보이고 있어 공공도서관의 지속적 이용을 위한 다양한 서비스 개발이 필요하다. 이에 본 연구는 자기결정성 이론을 기반으로 공공도서관을 이용할 때 어떤 이용 동기가 공공도서관의 지식교류의도에 영향을 미치는지에 대해 고찰하였다. 또한 이용 동기와 지식교류의도가 공공도서관 이용 빈도에 따라 어떻게 달라지는지에 대해서도 알아보았다. 공공도서관 이용자 230명을 대상으로 온라인 설문조사를 실시한 결과, 독립변수로 설정한 강한외적동기, 강한내적동기, 자율성, 유능성, 관계성 중 강한내적동기와 자율성, 유능성이 지식교류의도에 긍정적 영향을 미치고 있었다. 또한 공공도서관 이용 빈도별로 이용자 그룹을 고빈도, 보통, 저빈도로 나누어 일원분산분석을 수행한 결과, 이용 빈도가 높을수록 자율성과 관계성이 더 높게 측정되었다. 연구 결과를 토대로, 부정적 영향관계로 나타난 강한외적동기를 상쇄시키고, 강한내적동기와 자율성, 유능성을 촉진할 수 있는 새로운 서비스를 제안하였다. 자원봉사포털에서 신청할 수 있는 봉사와 연관지어 이용자가 공공도서관 서비스에 대해서 의견을 제안할 수 있는 소통 채널을 만들거나 공공도서관 운영 프로그램의 기획 초기부터 강의 종료 후 이용자들의 지식교류 시간까지 포함한 프로그램을 개설하는 등의 방안을 제시하였다. 이상의 결과를 종합하여 본 연구는 지식교류가 공공도서관의 지속 가능성을 높이는 새로운 돌파구가 될 수 있다는 근거 자료를 제공하였다는 점에서 의의를 지닌다."
